persuade |  v. 说服 vt. 劝说,说服
recognizable |  adj. 可认识的, 可承认的, 可辨别的
response |  n. 反应, 响应; 回答
rhesus |  n. 恒河猴 // =rhesus monkey
rift |  n. 裂口, 隙缝, 切口 // v. 裂开, 割开，渗入
rupture |  n. 破裂, 断裂 // v. 使破裂
scale |  n. 鳞, 刻度, 衡量, 数值范围 // v. 依比例决定, 攀登
seismic |  adj. 地震的
seismogram |  n. 震动图
seismograph |  n. 地震计
seismology |  n. 地震学
seismometer |  n. 地震仪
sensor |  n. 传感器，探测器
simulation |  n. 模拟,仿真,赝品
slippage |  n. 滑移，滑动，动力传动损耗
structural |  adj. 结构的, 构造的，建筑的，建筑用的
tectonics |  n. 筑造学, 构造学, 构造地质学
tsunami |  n. 海啸
twilight |  n. 黄昏,微光,略知 // v. 使微明
vibration |  n. 震动, 颤动
volcanism |  n. 火山作用, 火山现象
zone |  n. 地域,地带,地区 // vt. 划分成带, 标出或指定成区, 用腰带围绕 // adj. 地区性的, 地域上的
incendiary |  adj. 放火的, 煽动的, 教唆的 // n. 纵火犯人, 煽动者, 燃烧弹
spectacular |  adj. 壮观的, 令人惊叹的 // n. 惊人之举, 壮观的表演或影视作品
exacerbate |  vt. 加重(使...恶化, 激怒)
cable |  n. 电缆,海底电报 // vt. 打海底电报,把...拧成缆,用缆捆住 // vi. 打海底电报
minimize |  v. 将...减到最少 // [计算机] 最小化
muscle |  n. 肌肉 // vt. 用力挤 // vi. 用力进行
excessive |  adj. 过多的,过分的
turbine |  n. 涡轮
personality |  n. 个性, 名人, 特色
domestic |  adj. 国内的, 家庭的, 驯养的 // n. 家仆, 佣人
assess |  v. 估定, 评定
breakthrough |  n. 突破
revise |  n. 校订, 修正, 再校稿 // v. 校订, 修正, 校正
virus |  n. 病毒, 毒素, 有害的事物
beam |  n. 光线，电波，横梁，容光焕发 // vt. 发出（光、电、热、信号）；为……上梁 // vi. 微笑；发光
hazard |  n. 冒险,危险,危害 // v. 冒...的危险,赌运气
confront |  vt. 面临, 对抗, 遭遇
stout |  n. 烈啤酒 // adj. 强壮的, 稳重的, 肥胖的
disregard |  n. 不理会, 漠视 // vt. 忽视, 不顾
assimilate |  v. 使同化，吸收 // n. 被同化的事物
ecology |  n. 生态学
automatically |  adj. 不经思索的 // adv. 自动地
exceed |  vt. 超过, 胜过, 超出界限 // vi. 领先
arithmetic |  n. 算术
enthusiasm |  n. 热心，热忱，热情
rival |  n.对手； 竞争者 // vt.与…竞争； 比得上某人 // vi.竞争 // adj.竞争的
harridan |  n. 形容枯槁(或脾气暴躁)的老妇人, 名声不好的老泼妇
engage |  v. 答应, 预定, 使忙碌, 雇佣, 订婚
extracurricular |  adj. 课外的
bacterial |  adj. 细菌的
extend |  v. 扩充, 延伸, 伸展, 扩展
hostile |  adj. 怀敌意的,敌对的
fragile |  adj. 易碎的,脆的,精细的
promising |  adj. 有希望的,有前途的
numerous |  adj. 为数众多的,许多
vacuum |  n. 真空,空间,真空吸尘器 // adj. 真空的,产生(利用)真空的 // vt. &vi. 用吸尘器打扫
accumulation |  n. 积聚, 累积, 积聚物
bomb |  n. 炸弹,高压罐,火山口喷出的熔岩 // vt. 轰炸,大败,长传 // vi. 失败
buffer |  n. 缓冲,缓冲区 // vt. 减轻,缓冲
caldera |  n. 火山口
canopy |  n. 天篷, 遮篷, 苍穹
carving |  n. 雕刻品, 雕刻, 雕刻术 // 动词carve的现在分词
cinchona |  n. 金鸡纳树, 金鸡纳树皮
cinder |  n. 煤渣, 灰烬
coastal |  adj. 海岸的,沿海的,沿岸的
coastline |  n. 海岸线
composite |  adj. 合成的,复合的 // n. 合成物, 复合材料 // vt. 合成
cone |  n. 圆锥体,锥形物,球果 // vt. 变成锥形,削尖
conical |  adj. 圆锥体的
crystal |  adj. 清澈透明的, 晶体的 // n. 水晶, 结晶
crystalline |  adj. 水晶(般)的, 水晶做的，透明的
dengue |  n. 骨痛热
domical |  adj. 圆屋顶的, 圆顶式结构的
dormancy |  n. 休眠，冬眠，潜伏
dune |  n. 沙丘
fissure |  n. 裂缝,裂沟 // v. 裂开,分裂,裂成缝
fluid |  adj. 流畅优美的,流体的,流动的,不稳定的 // n. 流体,液体
foliage |  n. 叶子(总称)，簇叶
geologic |  adj. 地质的
geologist |  n. 地质学家
icecap |  n. (高山等上之)常积不消的冰, 冰盖 // =ice cap
igneous |  adj. 火的, 似火的, [地质]火成的
incandescent |  adj. 光亮的, 发白热光的, 白热化的 // n. 白炽灯泡
lava dome |  熔岩穹丘
layer |  n.层，层次； 膜； [植]压条； 放置者，计划者 // vt.把…分层堆放； 借助压条法； 生根繁殖； 将（头发）剪成不同层次 // vi.形成或分成层次； [植]通过压条法而生根
malaria |  n. 疟疾
meteorologist |  n. 气象学家
molten |  adj. 熔化的,炽热的,铸造的 // vbl. 融化,溶解,变软
mosquito |  n. 蚊子
mudslide |  n. 泥流
nitrous |  adj. 含有三价氮的
normal |  adj. 正常的,正规的 // n. 常态, 标准
oblivion |  n. 遗忘, 忘却
oscillation |  n. 振动, 动摇, 彷徨，振幅，单一的振动循环
outbreak |  n. 爆发
pasty |  adj. 浆糊的, 苍白的 // n. 馅饼
permafrost |  n. 永久冻土层
plateau |  n. 高原;平稳;稳定状态 // vi. 到达平稳阶段
precipitate |  vt. 使...陷入,促成,使...沉淀, 猛摔 // n. 沉淀物, 冷凝物 // adj. 仓促的, 迅猛的, 感情用事的
pumice |  n. 浮石, 浮岩 // vt. 用浮石磨, 用轻石擦净
red tide |  红潮
remedial |  adj. 治疗的, 补救的, 矫正的
retreat |  n. 休息寓所,撤退,隐居 // vt. &vi. 撤退, 向后倾
runoff |  n. 决赛, 流走的东西, 径流
sandy |  adj. 沙的, 沙地的, 多沙的 //      沙色的 //      不稳固的
seashore |  n. 海岸, 海滨
seawall |  n. 海塘，护岸，海堤
sediment |  n. 沉淀物
shield |  n. 盾,防卫物,盾状物 // vt. 保护,遮蔽
socioeconomic |  adj. 社会经济的
stratospheric |  adj. 平流层的，同温层的，极高的
symmetrical |  adj. 对称的
tidal |  adj. 潮的, 有关潮水的
tornado |  n. 飓风,旋风,龙卷风
upwelling |  n. 喷出，上喷，上升流 // 动词upwell的现在分词形式
vent |  n. 排气口, 表达, 发泄, 火山口 // vt.&vi. 发泄, 表达, 排放
volcanic vent |  火山口
profitable |  adj. 有益的, 有用的
install |  v. 安装,安置,使...就职 // n.[计算机] 安装,DOS命令 : 装入结束且驻留软件
technical |  adj. 工艺的, 技术的
gear |  n. 齿轮,传动装置,设备,工具 // vt. &vi. 使适应于,以齿轮连起,配搭活动,调整
endeavour |  n. （尤指新的或艰苦的）努力，尝试; v. 努力；尽力；竭力
insurance |  n. 保险
poverty |  n. 贫穷,贫困
overcome |  vt. 战胜,克服,(感情等)压倒, 使受不了 // vi. 获胜, 赢
transform |  vt. 转换,变形 // vi. 改变 // n. 变形
aesthetic |  adj. 美学的,审美的,有美感的 // n. (复数)审美观
handicapped |  adj. 残疾的,有生理缺陷的
patent |  n. 专利权,执照,专利品 // adj. 专利的,显著的,新奇的 // v. 取得...的专利权,请准专利
decent |  adj. 有分寸的,得体的,相当好的
handle |  n. 柄,把手 // vt. 买卖,处理,操作 // vi. 驾驭
volcano |  n. 火山
correspond |  vi. 符合,通信,相当
encounter |  n. 意外的相见,遭遇 // vt. &vi. 遇到,偶然碰到,遭遇
distract |  vt. 转移,分心
deprive |  vt. 剥夺,拒绝,免职
mature |  adj. 成熟的, 到期的, 充分发育的, 考虑周到的 // vt. 使...成熟, 长成 // vi. 长成, 成熟; 到期
transcribe |  vt.（用不同的录音手段）转录； 抄写，誊写； 改编（乐曲）（以适应他种乐器或声部）
require |  v. 需要, 要求
layout |  n. 布局, 安排, 设计
identify |  vt.识别，认出； 确定； 使参与； 把…看成一样 // vi.确定； 认同
barrier |  n. 界线,屏障,障碍物 // v. 以屏障隔开
desert |  n. 沙漠,荒地,应得(的惩罚或奖励)adj. 沙漠的,荒凉的vt. 遗弃vi. 擅离职守
achievement |  n. 成就, 成绩, 完成, 达到
conventional |  adj. 普通的,常见的,习惯的,常规的
stabilize |  v. 使安定, 使坚固
stylish |  adj. 现代风格的, 流行的, 潇洒的
anatomy |  n. 解剖学, 解剖学专著，分解，解剖，骨骸
adjacent |  adj. 毗连的,邻近的,接近的
vital |  adj. 至关重要的, 生死攸关的, 有活力的, 充满生机的
multiply |  vt. 乘,增加 // vi. 扩大,繁衍,做乘法 // adv. 多样地,多重地
mate |  n. 配偶, 同事, 助手 // v. 使...配对, 交配, 使...一致, 结伴
minimum |  adj. 最低的, 最小的 // n. 最小量, 最低限度
anticyclone |  n.逆旋风,高气压圈
asphyxiate |  v. (使)窒息
atmospheric |  adj. 大气的，大气层的，制造气氛的
belch |  v. 打嗝, 喷出
catalyst |  n. 催化剂,刺激因素
clearing |  n. 清除, 结算，(森林中的)空地 // 动词clear的现在分词
condensation |  n. 浓缩, 浓缩物, 凝结
contaminant |  n. 杂质(污染物质,沾染物)
cropland |  n. 农田，植作物之农地
cuckoo |  n. 杜鹃, 布谷鸟，咕咕声 // n. 傻子，疯子 // vt. 发出咕咕声 // adj. 愚蠢的, 疯狂的
deforest |  vt. 采伐森林，清除树林
dwelling |  n. 住处；寓所 // v. 居住（dwell的现在分词）
engineering |  n. 工程(学),工程技术
epidemiology |  n. 传染病学，流行病学
epiphyte |  n. 附生植物
fatality |  n.(事故或战争等造成的)死亡, 灾祸, 天命，致命性
fauna |  n. （某地区或某时期的）所有动物
fern |  n. 羊齿植物，蕨
fluoride |  n. (护齿的)氟化物
fog |  n. 雾, 朦胧, 喷雾, 迷惑 // vt. &vi.以雾笼罩, 使模糊, 迷惑
foggy |  adj. 有雾的
foundry |  n. 铸造, 铸造场, 铸造类
fungus |  n. 真菌, 霉菌 // （复数为funguses或fungi)
generator |  n. 发电机, 发生器
geothermal |  adj. 地热的
girth |  n. 周围长度，带尺, 尺寸 // n.（马等的）肚带, 腰带 // vt. 量周长，包围，给…缚上肚带
grazing |  n. 放牧, 牧草 // 动词graze的现在分词
hardwood |  n. 硬木, 硬木材, 阔叶树 // adj. 硬木的，硬木制成的
hygroscopic |  adj. 易湿的, 吸湿的
insulating |  adj. 绝缘的 // 动词insulate的现在分词形式
irritation |  n. 刺激, 烦恼, 刺激物
kaka |  n.(新西兰产的)卡卡鹦鹉
lightning |  n. 闪电 // adj. 闪电般的, 快速的 // vi. 打闪
linoleum |  n. 油布, 油毯
mahogany |  n. 红木, 桃花心木
Maori |  n.&amp;adj. 毛利人(的)
mist |  n. 雾,迷蒙,朦胧不清 // vt. 使...模糊,蒙上雾 // vi. 使...模糊,下雾
morbidity |  n. 病态，发病率
noisome |  adj. 恶臭的, 令人不快的，有害的
parasite |  n. 寄生虫,寄生生物，食客
particulate |  n. 微粒子，微粒状物质 // adj. 微粒的
pasture |  n. 牧场 // v. 吃(草) // vt. 放牧
plank |  n. 厚板, 支撑物，政纲条目 // vt. 铺板, 用力放下
plantation |  n. 种植园，大农场，殖民地
premature |  adj. 早熟的,过早的,不按时的 // n. 早产儿,早发
pulp |  n. 果肉, 纸浆 // v. 化成纸浆, 除去...果肉, 制成纸浆
rainforest |  n. 雨林
resin |  n. 树脂,松香,树脂制品 // vt. 涂树脂
sanctuary |  n. 圣所, 耶路撒冷的神殿, 至圣所
sawmill |  n. 锯机, 锯木厂
scrubland |  n. 灌木丛林地
seafloor |  n. 海底
seedling |  n. 幼苗
shroud |  n. 寿衣, 覆盖物, [航海]船之横桅索 // v. 包以尸衣, 遮蔽, 隐藏，笼罩 // v. 掩盖，保护 // n.
shrub |  n. 灌木 // n. 果汁甜酒
smelter |  n. 熔炉，熔铸工人
smog |  n. 烟雾
soot |  n. 煤烟, 烟尘 // vt. 熏以煤烟
stoppage |  n. 停止，堵塞，停工
supernatural |  adj. 超自然的, 神奇的
swampland |  n. 沼泽地
tar |  n. 焦油,柏油 // n. 水手 // vt. 涂以焦油
thermal |  adj. 热的,热量的,保热的 // n. 上升的热气流
thunderbolt |  n. 雷电, 晴天霹雳，（突然且具毁灭性的猛烈行动的）人或物
thundercloud |  n. 雷雨云
toll |  n. 通行费,代价,伤亡人数,钟声 // vi. 征收通行税,鸣钟 // vt. 向某人征税,钟响,引诱
vaporize |  v.(使)蒸发 // =vaporise(英)
vapour |  n. 蒸气，水蒸气，雾气 // v. 蒸发，吹嘘 // =vapor（英）
vine |  n. 攀爬植物, 藤, 蔓
vineyard |  n. 葡萄园, 酿酒庄园
fleet |  n. 船队,舰队,团队 // vt. &vi. 飞过,掠过 // adj. 跑得快的
glue |  n. 胶,粘性之物 // vt. 粘, 紧附于...
denote |  vt. 象征,表示
expedition |  n. 远征,探险队,迅速
sponsor |  n. 保证人, 赞助者 // v. 发起, 赞助
alter |  v. 改变
subsequent |  adj. 随后的,后来的
trace |  n. 痕迹,踪迹,微量 // vt. 追踪,找出根源,描绘 // vi. 追踪
reinforce |  vt. 加强，加固；强化；补充 // vi. 求援；得到增援；给予更多的支持 // n. 加强；加固物；加固材料
intelligible |  adj. 可理解的, 易理解的, 明了的
revenue |  n. 总收入; 财政收入, 税收 // n. 税务局
capture |  n. 抓取,战利品,捕获之物 // vt. 抓取,获得,迷住
cinematography |  n. 电影术，电影摄影学
host |  n.[计算机]主机； 主人，东道主； 节目主持人； 酒店业主 // vt.当主人； 主办宴会，主持节目； 款待，做东 // vi.做主人，做东道主
flash |  n. 闪光,闪现,闪烁物,花哨,一瞬间,电脑动画技术 // vi. 闪现,闪烁 // vt. 传送,用光联络,流露出 // adj. 花哨的,炫耀的,昙花一现的
dominant |  adj. 占优势的，主导的，显性的 // n. 主宰者
encourage |  v. 鼓励,激励,支持 // vt. 鼓励
lever |  n. 杠杆,似杠杆之工具 // vt. 撬开,使用杠杆
elite |  n. 精华, 精锐, 中坚份子
consolation |  n. 安慰,令人安慰的事物
chemical |  adj. 化学的 // n. 化学制品
multiple |  adj. 许多,多种多样的 // n. 倍数,并联
waterproof |  adj. 防水的，耐水的 // n. 防水材料 // （英）雨衣 // vt. 使...能防水
demonstrate |  vt. 示范, 演示, 证明 // vi. 示威
stereo |  adj. 有立体视觉的,立体声的 // n. 固定形象,立体声
transport |  n.运输、运输工具；(常用复数）强烈的情绪、狂喜或狂怒 // vt. 运输；流放；为强烈的情绪所激动
subtle |  adj. 微妙的,敏感的,精细的,狡诈的,不明显的
temporary |  adj. 暂时的,临时的 // n. 临时工
interval |  n. 间隔,休息时间, (数学)区间, (音乐)音程
mantle |  n. 斗篷, 覆罩之物, 罩子 // v. 罩住, 覆盖, 脸红
bacteria |  n. (复数)细菌
bald |  adj. 秃头的,单调的 // vt. &vi. 使变秃头
biochemist |  n. 生物化学家
biodiversity |  n. 生物多样性
biotic |  adj. 生命的，生物的 // suf. 表示“生存方式”
boreal |  adj. 北的，北方的
Bulgaria |  n. 保加利亚（欧洲国名）
cattle |  n. 牛 // n. 家畜，马，无价值的人，畜牲
conifer |  n. 针叶树
cultivable |  adj. 能耕种的，能栽培的
depletion |  n. 消耗,罄尽,放血
dinosaur |  n. 恐龙 // n.(俚)过时、落伍的人或事物
doomed |  adj. 命中注定的 // 动词doom的过去式和过去分词
endemic |  adj. 风土的, 地方的 // n. 地方病, 风土病
exploiter |  n. 开拓者；剥削者
falcon |  n. 猎鹰
functional |  adj. 功能的,有功能的,实用的
grower |  n. 栽培者, 生长物
increment |  n. 增加(增加物, 增量, 余差)
industrialization |  n. 工业化
infest |  v. 骚扰,群居于,大批出没
inspection |  n. 检查,视察
institutional |  adj. 制度上的，惯例的，机构的
insufficient |  adj. 不足的
integrity |  n. 诚实, 正直, 完整, 完善
interception |  n. 截取, 拦截, 窃听
landmass |  n. 大陆
maize |  n. 玉米
measurement |  n. 测量,衡量,尺寸,大小
meltdown |  n. （核反应堆核心的）熔毁，灾难，崩溃
misconception |  n. 误解, 错误想法
modification |  n. 修正, 修饰, 修改
monoculture |  n. 单一栽培, 单作
nutritional |  adj. 营养的,滋养的
pesticide |  n. 杀虫剂
prehistoric |  adj. 史前的
pristine |  adj. 远古的, 原始状态的, 未受损的, 新鲜而纯净的
quarantine |  n. 四十天,隔离,封锁交通,检疫期间 // vt. 检疫,停止交涉 // vi. 检疫
reconciliation |  n. 调和(和解,一致,甘愿)
replenish |  vt. 补充,再装满 // vi. 补充
residue |  n. 残渣,剩余,余数
industry |  n. 工业,产业,勤勉,刻苦
slaughter |  n. 残杀, 屠杀, 大量杀戮 // v. 残杀, 屠杀
starch |  n. 淀粉 // vt. 给...上浆
storage |  n. 储存体, 储藏, 仓库, 保管费
stump |  n. 残株, 烟蒂, 讲演台 // v. 砍断, 蹒跚而走
sulfur |  n. 硫 // vt. 用硫处理液化
tract |  n. 广阔的土地,地域,器官系统,宣传小册子
transportation |  n. 运输, 运输系统, 运输工具
unbroken |  adj. 不间断的, 未破的，未驯服的，未被打扰的
unchecked |  adj. 未加抑制的，未经检验的
vestige |  n. 遗迹, 退化的器官
virgin |  n. 处女,未婚女子 // adj. 纯洁的, 原始的，未开发的 // 维尔京群岛
visibility |  n. 能见度
physical |  adj. 身体的,物理的,物质的 // n. 体检
intervene |  vi. 插入,介入,干涉,调停 // [计算机] 介入
vivid |  adj. 生动的,强烈的,鲜艳的,清晰的,逼真的
specimen |  n. 样本,标本
emission |  n. 发射, 射出, 发行
superior |  n. 上级,高手,上标 // adj. 上层的,上好的,出众的,高傲的
embark |  vt. &vi. 乘船,着手,从事
furnish |  vt. 布置,提供,装备
bold |  adj. 大胆的,粗体的,醒目的，无礼的,陡峭的
continuous |  adj. 连续的, 继续的, 连绵不断的
terminology |  n. 术语,术语学
enfranchise |  vt. 给与自治权, 给与选举权, 解放
breakdown |  n. 崩溃,故障,分类,腐烂,失败,一种街舞
deficiency |  n. 缺乏,不足,缺点
adolescent |  adj. 青春期的, 青少年的 // n. 青少年
amateur |  adj. 业余(爱好者)的 // n. 业余爱好者,外行
absurd |  adj. 荒唐的 // n. 荒唐
stress |  n. 紧张, 压力 // v. 强调, 着重 // vt. 强调 // n.负载
destiny |  n. 命运
